,Top 10 important genes from the CellTypist model
AT1,"SFTPB, FGA, LMO7, TMSB10, BNC1, HEMGN, SELE, NPC2, DMBT1, ARHGEF26"
AT2,"SFTPB, LRRK2, MT-ND5, MACROD2, KLHL14, MT-ND4L, RPS19, ZNF215, RPL29, SNCAIP"
Artery EC,"PDE4D, THSD7A, ARL15, MECOM, DKK2, SLC45A4, TFPI, ENPP2, VEGFA, SAMD12"
B cells,"BLK, FAM129C, MS4A1, BANK1, IGHM, FAM30A, SULT1E1, EGLN2, TLR10, UNC5A"
CD4+ T cells metabolically active,"MT-CO3, IGHG2, PTPRC, LY6G6F-LY6G6D, MT-CYB, SMCHD1, IGHA2, AC133065.1, LZTS1-AS1, PCA3"
CD4+ Treg,"ANK3, KIAA0825, RALGAPA2, FOXO1, MAML2, CFAP157, H2AFY, B2M, BACH2, HIF1A"
CD8+ T cells,"MALAT1, ADGB, AUTS2, SAXO2, MS4A1, LINC01524, LINC01484, LINC01299, EPB42, PARP8"
Capillary 1,"CEMIP2, DHFR, VWF, LDB2, MT-ATP8, ANO2, TLR10, GATA1, MAGI1, ECT2L"
Capillary 2,"PTPRC, LDB2, ACSL1, MT-ATP6, MT-CO1, SFTPB, SLC11A1, ADGRL2, VCAN, AOAH"
Capillary Aerocytes,"PRKG1, ADGRL2, GALNT18, KALRN, AFF3, PRICKLE2, NCALD, EDNRB, SELE, EDA"
Ciliated,"C6orf118, C1orf87, C7orf57, ERICH3, C11orf16, AC013470.2, CFAP65, FAM92B, TEKT1, LINC02231"
Epithelial,"EGLN2, SELE, PNMT, FGA, HOXD3, SULT1E1, LINC00989, IGHG2, TLR10, SLITRK5"
Fibroblast,"COL6A3, MT-ND4L, MALAT1, RPL39, COL1A2, SYNDIG1, FN1, NUAK1, RPS28, DTX1"
Inflammatory monocytes CD14hiCD16hi,"TMSB4X, AC105402.3, B2M, MALAT1, MT-ND2, XIST, EGLN2, CFAP299, HEMGN, VIM"
KRT8+ PATS/ADI/DATPs,"KCNH2, PTGDS, SFTPC, AHSP, SFTPA2, MT-CO3, S100A6, GALNT9, CAPZB, MT-ATP6"
Lymphatic EC,"CCL21, MMRN1, RELN, TFF3, LINC01748, PROX1, UNC5A, HOXD3, SMOC1, TBX1"
MAST,"CPA3, PNMT, SIGLEC6, CRLF2, TPSAB1, SELE, KIT, IGHG2, AC092979.1, ENTHD1"
Macrophage CD163hi MERTKhi,"CTSD, LRRC10B, RPS12, TPSD1, RPL35A, COL17A1, DOCK4, CYBB, AQP3, DNAH9"
Macrophage LDB2hi OSMRhi YAP1hi,"SFTPB, PRKG1, SYNE2, ADGRL2, LDB2, COL6A3, MT-ND3, SAT1, A2M, RASGEF1B"
Macrophage PPARGhi CD5Lhi,"COX7C, CTSD, RASGEF1B, RPS4X, KLHL29, SVIL, S100A2, DNAI2, RGS13, GLOD5"
Macrophage VCANhi FCN1hi,"CYBB, XIST, KCNH2, RIPOR2, SERPINI2, SULT1E1, CENPM, SLC35F2, LINC00885, APP"
Macrophage metabolically active,"CTSD, MT-ND4, LZTS1-AS1, CADM3-AS1, MT-CO1, AC105402.3, CFAP47, UNC5C, MT-CO3, EPB42"
Mesothelial,"BNC1, LINC02232, LINC02360, AP000561.1, ITLN1, PDZD3, HAS1, GALNT9, ARG1, EGLN2"
Myofibroblast,"XIST, CRLF2, DCN, HOXD3, COL3A1, GATA4, CYP4B1, LINGO1, MT-CO3, TIMP1"
NK cells,"AOAH, SYNE2, MT-CO2, XIST, SLC18A2, GNLY, KCNH2, ADGRE5, EGLN2, SLFN12L"
NK/NKT,"ZEB2, ATP8B4, MYOM2, PTPN12, ZBTB16, TBXAS1, SETBP1, NCALD, BNC2, C1orf21"
Pericytes/ Smooth Muscle,"EBF1, SLC6A1, CARMN, MYOCD, LINC01099, SULT1E1, CACNA1H, COX4I2, CACNA1C, SLITRK5"
Plasma cells PRDM1/BLIMP hi,"MT-ATP8, MT-ND4L, MT-ND6, MEF2C, RBM47, ART3, FNDC3B, RALGPS2, MAN1A1, GLCCI1"
Plasma cells PRDM1/BLIMP int,"MT-ND4, MT-CO2, RASGEF1B, PDE4D, MS4A7, ZBTB16, FHL5, HDC, CDH2, IGHG4"
Plasmablasts,"JCHAIN, ART3, SULT1E1, SELE, MZB1, EGLN2, IGKC, RPL18, FGA, RPL34"
Proliferative fibroblast,"AC105402.3, VIM, FGA, STMN1, SELE, AC016205.1, H2AFZ, PNMT, COL1A2, A2M"
RBC,"HBA1, PADI4, ITGA2B, LINC00989, AC073842.2, SELE, LINC02284, HBM, PNMT, ANK1"
Secretory,"XIST, SFTPB, FHOD3, MS4A1, EYA1, FRAS1, SLC6A1, CFH, EIF1, RP1"
Vein EC,"HDAC9, NUAK1, STOX2, LINC02147, IL1R1, LRRC1, SULT1E1, TLL1, FAM155A, CPE"
