,Top 10 important genes from the CellTypist model
AS-DC,"LINC01013, AC011893.1, MIR4422HG, CTSG, MAG, PROC, ADAM33, KCNE5, AC025569.1, SUCNR1"
B Naive,"CD74, RPL18A, CD79A, HLA-DRA, TCL1A, IGHM, RPS5, RPS19, CD37, FCER2"
B Naive IFN stim,"IFITM1, MX1, XAF1, IRF7, IFI44L, EIF2AK2, IFITM2, STAT1, TCL1A, KCNA5"
B Non-Switched FCRL3+,"IGHM, IGHD, MMP15, AC011893.1, SLC32A1, ENPP3, NBAT1, SUCNR1, ZNF385C, NLRP7"
B Non-Switched Memory,"IGHM, CD79A, CKAP4, B2M, LTB, COTL1, SYNE2, JCHAIN, TIMD4, CTSG"
B Non-Switched Memory IFN stim,"IFITM1, MX1, IGHM, MMP15, ZNF385C, EDN3, MRPS30-DT, ANKS1B, GFPT2, ISG20"
B Switched FCRL3+,"SCARA5, MIR4422HG, MMP15, TRDV3, VASN, ANKS1B, MATN2, MIR193BHG, HLF, GPER1"
B Switched Memory,"MS4A1, CD74, HLA-DRA, LTB, IGHA2, PHLDA3, NUDT10, NBAT1, ARID5B, SLC32A1"
B Switched Memory IFN stim,"IFITM1, ANKS1B, PAPLN, MIR4422HG, AC011893.1, CCDC42, TIMD4, TNFSF4, GFPT2, SLC32A1"
Eosinophil/Basophil/Mast Progenitor,"TPSD1, MS4A3, HDC, TPSAB1, FAM83F, TPSB2, CNRIP1, LINC01140, ENPP3, MIR4422HG"
Haematopoietic Progenitor CD34+/CD38+,"CPA3, TRDV3, CNRIP1, ST6GAL2, LRRC34, SLC32A1, KCNA5, AC093503.2, NBAT1, PTPN3"
Haematopoietic Progenitor CD34+/CD38+ IFN stim,"LRRC63, LINC01268, SYN3, SMIM6, SLC25A27, IGHV2-5, AC016745.2, MRPS30-DT, LINC02245, NBAT1"
Haematopoietic Progenitor CD34+/CD38-,"CCDC42, CRHBP, CLEC3B, BEX1, MIR4422HG, KCNA5, SLC32A1, HLF, AVP, ST5"
ILC,"NUDT10, TRDC, SLC32A1, TIMD4, NLRP7, CD7, CCDC42, SYN3, WNT16, KCNA5"
ILC IFN stim,"SYN3, MIR4422HG, EDN3, NBAT1, TTLL10, LINC02245, MATN2, AP000781.1, AC104024.1, TNFSF11"
Lymphoid Progenitor,"PRSS2, NPTX2, SYN3, GPER1, AC004540.2, VPREB1, AC011893.1, AC104024.1, MIR4422HG, MMP15"
Monocyte CD14+,"FTL, LYZ, TYROBP, FCN1, CST3, S100A6, IFITM1, VCAN, PSAP, NEAT1"
Monocyte CD14+ IFN stim,"LY6E, TYMP, ISG15, RNF213, S100A8, SAT1, IFITM3, CEBPD, S100A9, MX1"
Monocyte CD14+ Pro-inflammatory,"MALAT1, S100A8, S100A9, MTRNR2L8, HLA-DRB1, HLA-DRB5, TMSB10, HLA-B, B2M, CD83"
Monocyte CD16+,"FCGR3A, SAT1, IFITM2, CST3, COTL1, LST1, FCER1G, PSAP, WNT16, NBAT1"
Monocyte CD16+ C1+,"C1QB, C1QC, C1QA, TNFSF11, AC025569.1, KCNA5, MIR4422HG, MRPS30-DT, HPDL, ANKS1B"
Monocyte CD16+ IFN stim,"IFITM1, FCGR3A, TYMP, EPSTI1, SLC31A2, OAS3, ISG15, SLC32A1, APOBEC3A, MRPS30-DT"
Myeloid Progenitor,"SLC32A1, MMP15, WNT16, ANKS1B, SUCNR1, CCDC42, C1QTNF4, ZNF385C, MIR4422HG, EDN3"
NK,"NKG7, TYROBP, CD7, RPL41, CD247, CLIC3, CXCL10, RPL14, ANKS1B, CCR3"
NK CD56+,"GNLY, GZMK, NKG7, CMC1, CCDC42, ZNF385C, COTL1, CTSW, KCNA5, MRPS30-DT"
NK CD56+ Cycling,"STMN1, PIMREG, SLC32A1, MMP15, GATA3-AS1, TYMS, SLC12A3, SUCNR1, DLGAP1, NBAT1"
NK Cycling,"MKI67, CENPF, LINC01976, WNT16, EDN3, KCNA5, SUCNR1, LINC02245, SLC32A1, LGALS1"
NK IFN stim,"XAF1, MX1, GNLY, TYROBP, ISG20, IFI6, BST2, OAS1, IRF7, PRF1"
NKT,"TRGV5, CD3E, TRBC1, KLRF1, GZMH, CMC1, WNT16, SLC32A1, PRSS57, AC011893.1"
Plasma Cell,"TNFSF11, LINC02245, WNT16, GATA3-AS1, LINC01013, SUCNR1, LINC02470, EDN3, FXYD6-FXYD2, SMIM6"
Plasmablast,"KREMEN2, KCTD19, MIR4422HG, WNT16, AKR1C1, LINC02470, AC035140.1, MEG3, SLC32A1, TRDV3"
T CD4 Activated CTL,"SLC32A1, SMIM6, MMP15, LINC01013, AC011893.1, WNT16, MEG3, CCDC42, FAM69B, CTSG"
T CD4 Activated CTL Cycling,"SLC32A1, MIR4422HG, TNFSF11, AC025569.1, NBAT1, ARHGAP20, SMIM6, MMP15, CTSG, AC093503.2"
T CD4 Activated Helper 1,"MMP15, LINC01013, SLC32A1, EDN3, KCTD19, DNTT, RNF217-AS1, KCNA5, TRDV3, ATP2A1"
T CD4 Activated Helper 1 Cycling,"PLEKHD1, MMP15, KCTD19, SLC32A1, CCDC42, CTSG, PHLDA3, AC025569.1, LINC02245, SCARA5"
T CD4 CTL,"CD4, CD40LG, GZMH, MIR4422HG, AC011893.1, GNLY, MMP15, NKG7, KCNA5, GATA3-AS1"
T CD4 Follicular Helper,"ACTB, CXCR5, JUNB, MALAT1, IFITM1, RPS12, TIGIT, SOCS3, LIMS1, COTL1"
T CD4 Helper 0,"RPS3, S100A4, LTB, ANXA1, RPS18, RPL41, AHNAK, ITGB1, IL7R, B2M"
T CD4 Helper 0 IFN stim,"IFI44L, S100A4, ISG15, ANXA1, WNT16, STAT1, LINC01013, CTSG, KCNA5, NBAT1"
