,Top 10 important genes from the CellTypist model
B_c01-TCL1A,"TCL1A, CD69, FOS, FCER2, JUN, IL4R, PLPP5, WDR74, CD74, SNX29"
B_c02-MS4A1-CD27,"CD74, AC245014.3, CD69, S100A9, HLA-DRA, S100A8, AHNAK, TNFSF18, LDB2, PARAL1"
B_c03-CD27-AIM2,"S100A4, S100A10, JCHAIN, CD74, HLA-DRA, CRIP1, IGLV3-32, LGALS1, ITGB1, ANXA2"
B_c04-SOX5-TNFRSF1B,"NEAT1, FOS, ZEB2, JUN, FGR, CD74, RHOB, FCRL3, HLA-DRA, SEC61B"
B_c05-MZB1-XBP1,"MZB1, JCHAIN, SPRR3, SSR4, CLEC9A, FMOD, TNFSF18, SCEL, LINC01914, ADAMTS7"
B_c06-MKI67,"HIST1H4C, HIST1H1E, SPRR3, PARAL1, S100A9, SCEL, LINC01914, FMOD, SHD, MAOB"
DC_c1-CLEC9A,"SPRR3, IGLV3-32, MT3, KCNH2, FMOD, SCEL, PARAL1, LDB2, ADAMTS7, HLA-DPB1"
DC_c2-CD1C,"CST3, HLA-DRA, HLA-DPA1, HLA-DPB1, CD74, LYZ, TYROBP, HLA-DRB1, FTL, HLA-DQB1"
DC_c3-LAMP3,"SPRR3, PNMT, CXCL10, DNAJC12, FABP4, IGLV3-32, FMOD, PI3, MT3, SCEL"
DC_c4-LILRA4,"JCHAIN, MZB1, FMOD, RBPMS, IGLV3-32, SMIM24, ADAMTS7, CYTL1, SPRR3, ARSJ"
Epi-AT2,"SFTPC, TNNC1, SPRR3, PNMT, IGLV3-16, TEDC2, SCEL, IGLV3-32, CCNA1, COX7A1"
Epi-Ciliated,"HLA-DRA, FABP4, CD74, SPRR3, IGLV3-32, TNFSF18, PARAL1, ASIP, PSORS1C1, KCNH2"
Epi-Secretory,"LINC01914, FMOD, AC097375.1, AC011893.1, IL5, PDGFRL, PARAL1, AL136987.1, WDR38, VWC2"
Epi-Squamous,"SPRR3, IGLV3-32, FMOD, ADAMTS7, IL5, AL078590.3, HDC, SLC18A2, PVALB, AC097375.1"
Macro_c1-C1QC,"FTL, FTH1, JUN, S100A9, IGLV3-32, TNNC1, IGLV3-16, FMOD, LDB2, SCT"
Macro_c2-CCL3L1,"S100A8, S100A9, CCL4, MALAT1, IL1RN, CXCL10, MARCKS, CCL8, CCL3, GBP1"
Macro_c3-EREG,"SPRR3, AC097375.1, CLEC9A, IGLV3-16, TNNC1, IL1RN, LDB2, IGLV3-32, CD177, SHD"
Macro_c4-DNAJB1,"IFITM3, S100A11, CST3, CCL2, TMSB10, CYTL1, FMOD, ISG15, TNNC1, LDB2"
Macro_c5-WDR74,"WDR74, HLA-A, SPRR3, IGLV3-32, FMOD, HLA-DRB1, SCEL, TMEM233, ADAMTS7, COX7A1"
Macro_c6-VCAN,"S100A12, SPRR3, CLEC9A, IL5, KCNH2, ARSJ, GPC4, MUC13, TMEM233, IGLV3-32"
Mast,"SPRR3, FMOD, IGLV3-16, AL136987.1, ADORA3, IL5, SCEL, HOXB6, TNFSF18, TMEM233"
Mega,"CCL5, PF4, SAT1, IL1B, S100A8, IGLV3-32, FMOD, CD74, HBB, CLU"
Mono_c1-CD14-CCL3,"S100A8, CXCL8, S100A9, CCL3, SOD2, FTH1, CCL4, SRGN, NFKBIZ, PARAL1"
Mono_c2-CD14-HLA-DPB1,"S100A8, S100A9, CD74, HLA-DRA, LYZ, TYROBP, FTL, PARAL1, HLA-DPA1, S100A6"
Mono_c3-CD14-VCAN,"S100A8, S100A9, FTL, FOS, TYROBP, PARAL1, NEAT1, JUN, LYZ, VCAN"
Mono_c4-CD14-CD16,"HLA-DRA, FTL, SPRR3, HLA-DPA1, HLA-DRB1, IFITM3, LYZ, CD74, HLA-DPB1, CD177"
Mono_c5-CD16,"CST3, IFITM3, TYROBP, AIF1, FCER1G, PSAP, SAT1, NEAT1, LST1, S100A4"
NK_c01-FCGR3A,"NKG7, GNLY, IFITM1, TNFSF18, FMOD, PARAL1, SIRPG, TRAV1-2, PDGFRL, TNNC1"
NK_c02-NCAM1,"SELL, GNLY, KLRC1, SPRR3, CD2, IGLV3-32, SCEL, LINC01914, TNFSF18, TNNC1"
NK_c03-MKI67,"STMN1, TUBA1B, SPRR3, IGLV3-32, KCNK17, CLEC9A, PROC, TNNC1, PARAL1, HMGB2"
Neu_c1-IL1B,"CXCL8, IFITM3, PLAUR, BCL2A1, AL136987.1, CXCR4, GLUL, LDB2, FMOD, AP001453.2"
Neu_c2-CXCR4(low),"NEAT1, S100A9, SPRR3, LINC01914, PARAL1, CYTL1, MAOB, SERP2, IGLV3-32, IGLV3-16"
Neu_c3-CST7,"MNDA, FABP4, ZDHHC19, NOV, SAA1, IGLV3-32, TNFSF18, CYTL1, PARAL1, ASIP"
Neu_c4-RSAD2,"SCGB1A1, IGLV3-32, TNNC1, SERP2, FMOD, PARAL1, C20orf85, IGLV3-16, LINC01914, MIR4422HG"
Neu_c5-GSTP1(high)OASL(low),"SPRR3, SCEL, IGLV3-32, IGLV3-16, PNMT, FMOD, AL078590.3, COX7A1, TMEM233, OXCT2"
Neu_c6-FGF23,"MT-CO1, AL135790.1, AL035078.1, IGLV3-32, NEAT1, FMOD, S100A8, PNMT, ADAMTS7, SHD"
T_CD4_c01-LEF1,"AD000090.1, KLF4, FMOD, CCL3, TNFSF18, CHAD, PDGFRL, IL1B, LINC01914, CD1E"
T_CD4_c02-AQP3,"S100A4, KLRB1, AQP3, RPS12, IL1B, SPRR3, TNFSF13B, FTH1, LIMS1, FMOD"
T_CD4_c03-ITGA4,"AD000090.1, AHNAK, ITGA4, HIST1H1E, MALAT1, SPRR3, FLNA, ITGB1, NFKBIZ, PARAL1"
T_CD4_c04-ANXA2,"S100A4, ANXA1, LGALS1, S100A11, AD000090.1, AHNAK, ITGB1, SPRR3, ANXA2, DDIT4"
