,Top 10 important genes from the CellTypist model
ACTC+ SMC,"LINC02269, DRD2, AC015845.2, TRBV9, TRAV9-2, IGLV3-21, AL391335.1, TRAV29DV5, TRAV1-2, TRBV27"
APOE+ MΦ1,"PLA2G2D, TRAV29DV5, IGLV3-21, IGKV4-1, TRAV1-2, ADAMDEC1, TRBV9, TRBV19, TRBV4-2, SYNPR"
APOE+ MΦ2,"KCNJ10, IGLV3-21, SPIC, HS3ST2, TRAV29DV5, PLA2G2D, TRBV9, IGKV3-20, TRAV1-2, TRBV19"
ASPN+ chondrocyte,"CPNE6, IGLV3-21, F2RL2, TRBV20-1, TRAV29DV5, TRAV8-6, TRBV19, TRBV9, IGKV3-20, TRAV1-2"
AT1,"IGLV3-21, TRBV9, TRAV1-2, AGER, TRAV8-6, TRAV29DV5, IGKV4-1, TRBV20-1, TRAV9-2, IGKV3-20"
AT2,"CLDN6, PDZK1IP1, SFTPC, SLC34A2, CRLF1, IGLV3-21, LINC02531, AP000769.2, KCNK4, TRBV27"
Activated NK,"TNFRSF9, TRBV9, IGLV3-21, TRBV20-1, IGKV3-20, IGLV3-10, TRAV1-2, RPS4Y2, LIM2, LINC00854"
Adventitial fibro,"MFAP5, PI16, LOX, PRRX1, C1QTNF3, NPY2R, ASPN, CD34, AC112721.2, SLITRK1"
Aerocyte,"S100A3, NOS2, IGLV3-21, TRBV9, TRAV29DV5, TRAV1-2, EMCN, TRAV8-6, APLN, TRBV20-1"
Airway fibro,"AGTR2, TRAV1-2, IGLV3-21, TRAV9-2, NTRK2, IGLVI-70, AC021851.1, TRBV19, PRSS23, AC174065.1"
Alveolar fibro,"PROCR, MTRNR2L12, MACF1, PPP1R3C, LMO4, PLEKHH2, CXCL12, GALNT13, EEF1A1, FGFR4"
Arterial endo,"SSUH2, AC004947.1, LINC00840, IGLV3-21, TRBV28, TRBV19, TRAV1-2, IGKV3-20, IGLVI-70, TRBV4-2"
Basophil,"CLC, IGLV3-21, TRAV9-2, CCR3, CD207, IGLVI-70, TRAV29DV5, TRAV1-2, TRBV19, TRBV20-1"
CD16+ NK,"LAIR2, TBX21, GPR150, TRBV9, PRG4, TRAV1-2, TRBV19, CELA1, TRDV2, TRBV28"
CD4 T,"CD40LG, TRAV8-6, TRBV19, GZMA, CCR3, TRAV1-2, TCF7, AP000977.1, GPR150, CRLF2"
CD5+ CCL22+ mature B,"IGLV3-21, IGHG2, CCL22, TNFRSF13B, IGLV3-25, IGHG3, TRBV19, IGHV4-34, IGHG1, TRAV29DV5"
CD5+ CCL22- mature B,"IGLJ1, AC107926.1, RPS4Y2, ZAN, TRAV29DV5, IGHV3-23, CLEC4C, TRBV9, TRAV1-2, IGLV2-23"
CD5- Mature B,"SELL, CXCR5, AC104024.1, CD1C, AC112196.1, TRBV9, PITRM1-AS1, IGHV1-3, LINC01825, EPN2-AS1"
CD56bright NK,"IL2RB, KRT86, CDHR1, KLRB1, TYROBP, GZMK, IGLV3-21, TRAV1-2, GZMA, CXCR6"
CD8 T,"CD8B, LINC02446, AL356234.3, TRDV2, HCG20, SIGLEC6, TRDV1, CCR9, ABCA9-AS1, PASK"
CMP,"AC117513.1, IGLV3-21, CELA1, TRBV9, TRAV1-2, AC007163.1, TRAV9-2, TRAV29DV5, TRBV28, TRAV8-6"
COL20A1+ Schwann,"COL20A1, SLITRK1, AC015712.4, GPR17, IGLV3-21, TRAV9-2, TRAV29DV5, SYNPR, IGKV3-20, TRAV1-2"
CX3CR1+ MΦ,"C1QC, AF127936.2, RNASE6, AC084871.2, SYCP3, TRAV26-1, CD14, IGLV3-21, TRAV1-2, SHISA8"
CXCL9+ MΦ,"CXCL11, IL27, IGLV3-21, IGKV3-20, CXCL10, TRAV29DV5, TRBV20-1, TRAV9-2, CXCL9, TRAV1-2"
Ciliated,"UGT2B17, AC242022.1, AC010255.1, HHLA2, TSPAN1, CFAP77, CRISP2, CWH43, STMND1, LINC02345"
Club,"CYP2B6, SFTPB, CP, AGR3, CYP2A13, MMP7, CCNO, TRBV9, IGLV3-21, KLK14"
Cycling DC,"LINC01475, ZP1, CD1B, LIPN, IGLV3-21, ENHO, TRBV19, TRBV28, TRAV26-1, AP001107.2"
Cycling NK,"AC007163.1, IGLV3-21, KRT72, TRBV20-1, TRBV19, IGKV3-20, TRAV1-2, TRBV9, TRAV9-2, AC002310.2"
Cycling T,"TRAV10, RPS4Y2, TRAV29DV5, TRBV9, TRAV1-2, TRAV22, TRAV2, AL359962.2, IGKV3-20, IGLV3-21"
Cycling definitive erythroblast,"AC104389.5, AP003472.1, AC024267.1, IGLV3-21, TRAV1-2, KLF1, PTMA, AHSP, TRAV29DV5, PLPP4"
DC1,"XCR1, IDO1, CLEC9A, AIM2, AC099560.1, RFPL4AL1, CLNK, RFPL4A, LINC02206, IGHV1-18"
DC2,"CLEC10A, FCER1A, CD1C, CD207, SUCNR1, TRAV1-2, LINC01954, IGLV3-21, LIPN, AF127936.2"
DC3,"FCN1, S100A9, AL035427.1, TRBV9, RNASE2, HTR2C, TRBV4-2, C11orf72, IGLV3-21, TRBV20-1"
Definitive erythroblast,"PKLR, TRAV1-2, IGLV3-21, TRAV9-2, TRAV8-6, TRBV28, TRBV20-1, TRAV29DV5, IGKV3-20, TRBV4-2"
Definitive erythrocyte,"HBB, ALAS2, PHOSPHO1, IGLV3-21, IGHV1-18, FSTL4, TRAV1-2, KCNK4, CD207, TRAV29DV5"
Definitive reticulocyte,"MALAT1, TMCC2, RHAG, KLF1, AC100801.1, TSPO2, AC092490.1, YPEL4, IGLV3-21, TRIM58"
Deuterosomal,"CDC20B, IGLV3-21, TRAV9-2, TRBV9, TRBV28, AP000911.3, IGHV1-18, TRAV1-2, TRAV26-1, TRDV2"
Early Schwann,"PRSS56, IGLV3-21, TRAV8-6, TRAV29DV5, TRBV4-2, TRBV5-1, IGLVI-70, TRBV20-1, AL592166.1, TRAV1-2"
Early airway progenitor,"CRH, FOXA2, SOX2, CNGB1, AGRP, TRBV9, TRBV28, CA10, IGLV3-21, TRAV8-6"
Early cap,"OIT3, UCP1, SOX7, HAPLN1, FGF23, LINC00305, LINC01154, PRND, TRAV29DV5, IGLV3-21"
Early fibro,"MTRNR2L12, SULT1E1, HOXB5, SNCG, LAMA4, CXCL12, LINC00854, WFDC5, BARX1, CPNE6"
