,Top 10 important genes from the CellTypist model
AT1 ,"CAV1, ITLN2, CEACAM6, C19orf33, CAPN6, RTKN2, MSLN, AGER, EMP2, MYRF"
AT2,"SFTPB, SFTPC, NAPSA, SFTPA2, SFTA2, SFTPA1, SERPINA1, SLC34A2, MUC1, S100A6"
B_memory,"CD74, HLA-DRA, MS4A1, IGHA1, CD52, FCRL2, GRIK3, HLA-DPA1, TYRP1, TLR10"
B_naive,"TCL1A, IGHD, IGHV4-34, FCER2, IGHM, CLEC17A, SLC38A11, CLEC9A, AFF3, CLDN14"
B_plasma_IgA,"MZB1, IGHA1, JCHAIN, CXCL13, IGLC3, IGKV2-30, ACY3, CAPN6, MATN1, IGHV3-23"
B_plasma_IgG,"IGHG3, IGHGP, IGLL1, IGHG2, IGHG4, DPEP1, SLPI, XCR1, MZB1, IGHG1"
B_plasmablast,"ACY3, ZBTB32, CLEC9A, FOXP3, NACA2, BPIFB2, IGKV2-30, COL25A1, LINC01013, TRBV6-4"
Basal,"KRT17, MMP10, STATH, KRT15, S100A2, SCGB3A1, SYT10, IFITM1, KRT5, CCL19"
CD4_EM/Effector,"MALAT1, IL7R, LDB3, KCTD15, B2M, MT-ND2, CCL20, OVCH1-AS1, GPR37L1, CASC8"
CD4_TRM,"MALAT1, MYOT, LGALS1, HBQ1, CASQ2, CXCL13, CCL5, HSPA1A, MT-CO1, MYBPC1"
CD4_naive/CM,"ICAM2, RPL10, JUNB, LTB, MALAT1, S1PR1, KLF2, PLAC8, IL7R, SHISA8"
CD8_EM,"CCL5, IL7R, TCTEX1D4, RPS14, IGLL1, NCCRP1, RHAG, CDK5R2, TMEM151A, MALAT1"
CD8_EM/EMRA,"GNLY, CMC1, CD8B, IGHV1-24, HLA-DPB1, RPL31, CD8A, GZMH, CD3D, IL32"
CD8_TRM,"CCL5, CCL4, GZMB, VIM, SPRY1, MATN1, PTMS, BPIFB2, ITGA1, LGALS1"
CD8_TRM/EM,"CCL5, GZMK, RGS1, CXCL13, CD74, CST7, YBX3, PRPH, HLA-DPA1, MS4A1"
Chondrocyte,"ACAN, IGSF21, MMP3, TFF1, AC002454.1, SHD, IGFBP7-AS1, XIRP2, CST4, PRSS35"
Ciliated,"TUBA4B, CATSPERD, FABP6, ANKRD66, C6orf118, GSTA3, AKAP14, CCDC60, C1orf87, RP1"
DC_1,"CLEC9A, XCR1, TACSTD2, S100B, DNASE1L3, FLT3, PPY, CPVL, HLA-DQA1, AURKB"
DC_2,"FCER1A, CCL17, HLA-DQA1, PPP1R14A, FCGR2B, XKR4, IL1R2, CLEC10A, SLC38A1, CLEC5A"
DC_activated,"CCL22, AOC1, LAMP3, CCR7, BIRC3, NCCRP1, EBI3, FSCN1, HMSD, TRAF1"
DC_plasmacytoid,"SHD, JCHAIN, GZMB, LILRA4, CLEC4C, SCT, PACSIN1, TCL1A, LAMP5, NME8"
Deuterosomal,"CDC20B, PRSS35, CLEC9A, PRPH, TRBV6-4, NACA2, PLK4, LINC01209, SLC17A7, ACY3"
Dividing_AT2,"PRPH, ATP6V1B1, F11, HAND2-AS1, TRDV2, HPSE2, CLEC9A, PCP4, XIRP2, ORM1"
Dividing_Basal,"CEL, TOP2A, FAM111B, BEST3, KCNB2, SFTPB, S100A2, DAB1, GFRA3, SPC24"
