,Top 10 important genes from the CellTypist model
B cell,"RP11-542A14.2, PEX5L, GZMB, MYOT, CPA6, CD74, RP11-354E11.2, UGT3A2, MMP9, TMPRSS15"
Basal like,"ANXA1, FCRL5, HBA2, SCGB3A1, CEACAM6, S100A2, FAM195A, NCAPG, TMPRSS15, PERP"
Chondrocyte,"S100B, WIF1, COL9A2, CLU, C9orf24, COL9A3, COL2A1, TNFRSF13B, CLSPN, RP1-8B1.4"
Ciliated,"FAM183A, TNFRSF13B, C9orf24, RP11-367G6.3, FCRL5, MYF5, CCR9, LINGO4, C9orf135, C1orf194"
Distal lung epithelium,"SCGB3A2, KRT8, KRT19, COL3A1, KRT18, MUC5AC, FEV, CYB5A, MIR205HG, TNFRSF13B"
Endothelial,"CLDN5, ECSCR, CDH5, AC011526.1, TIE1, TM4SF18, RNASE1, EGFL7, TM4SF1, ESAM"
Enteroendocrine,"PEX5L, GRP, TMPRSS15, RP11-375B1.3, CD5L, MYF5, CFC1, MS4A8, SCGN, LINGO4"
Erythroblast,"GYPA, AHSP, PRSS57, MS4A1, MYL4, CD2, IGLL1, GSTA3, SPINK2, HDC"
Gastrointestinal epithelium,"EPCAM, KRT8, SPINK1, CLDN5, AGR2, FTL, RBP2, VIM, KRT19, FABP1"
Hepatocyte,"CPB2, ACMSD, AHSG, HAMP, GPR37L1, RP11-297L17.2, ARG1, LINGO4, CCR9, RP11-189B4.6"
Intestinal epithelium,"C11orf86, MTTP, TSPAN8, RP13-436F16.1, CHP2, TFF3, SI, CIDEC, TYROBP, ANPEP"
MUC2+ goblet,"SPINK1, PMP2, ANXA13, RP11-343J3.2, GALR2, FHL5, CD5L, LGALS4, GNG13, SLFN14"
Macrophage/monocyte 1,"CD74, HLA-DRA, MFAP4, MDK, SCGB3A2, TYROBP, AIF1, RNASE1, C1QA, C1QC"
Macrophage/monocyte 2,"TMSB10, CST3, MARCO, CD5L, FTL, FOS, PSAP, FCGRT, ACTB, SEPP1"
Mesenchyme subtype 1,"IGFBP3, GMFG, IFITM1, CPM, PMP2, DLL1, FOXG1, SLC7A7, RAG2, CLEC14A"
Mesenchyme subtype 2,"COL1A1, RP11-375B1.3, RP11-189B4.6, C21orf128, CYP2F1, TAGLN, CD5L, LGALS1, SOX17, UGT2B4"
Mesenchyme subtype 3,"PTCRA, RP11-343J3.2, MCIDAS, MYLK, FOXG1, CATSPER1, G0S2, TNFRSF13B, HRG, TMEM71"
Mesenchyme subtype 4,"RAG2, SCGB3A2, SNX20, IGFBP2, ANXA1, SCGB3A1, COL3A1, CLEC9A, MEP1A, MGP"
Mesenchyme subtype 5,"MYF5, LGALS1, COL3A1, IGFBP2, CPE, FGL2, HMGA2, WFDC2, HAND2, MCIDAS"
Mesothelial cell,"UPK3B, NPHS1, PMP2, LINGO4, AP001171.1, CARNS1, POU6F2, GPR37L1, NOS1, CCR9"
PNS glia,"ASCL1, S100B, CDH6, RASGEF1C, RP4-792G4.2, GPR37L1, CCR9, SOX2, MCIDAS, ERBB3"
PNS neuron,"STMN4, CHRNA3, LINC00682, FAM57B, ELAVL4, TNFRSF13B, PRPH, TNFRSF17, RP11-24F11.2, TMPRSS15"
Pericyte,"IGFBP7, PLN, CRIP1, APLNR, TINAGL1, HIGD1B, PERP, FAM162B, GFAP, STEAP4"
Proliferative mesenchyme,"BIRC5, KIAA0101, HMGB2, FCRL5, HRG, MAD2L1, TOP2A, CD5L, C19orf77, GZMM"
T cell/NK cell 1,"LTB, CORO1A, MDK, CD52, ARHGDIB, DCN, LGALS1, KLRB1, LAPTM4A, SPARC"
T cell/NK cell 2,"B2M, MALAT1, TMSB10, EEF1A1, ACTG1, ACTB, PTPRC, JUN, CPA6, TMPRSS15"
Undefined,"LTB, CORO1A, CD52, CD3D, ELF3, KRT19, CLDN4, IL32, ARHGDIB, AGR2"
