,Top 10 important genes from the CellTypist model
B_memory,"HLA-DQA1, LGALS1, MTRNR2L12, IGLV1-44, NR4A2, HLA-DRB1, GBP7, CD83, CDKN1A, AHNAK"
B_naive,"MS4A1, HLA-DRA, HLA-DPA1, HLA-DQA2, TCL1A, HLA-DPB1, IGLV3-1, CD74, ISG20, CCL22"
B_plasma,"AL928768.3, IGHG4, RP11-16E12.2, IGHGP, TNFRSF17, IGLC7, CLEC10A, PRLH, FCRL2, DERL3"
B_pro/pre,"VPREB3, IGLL1, VPREB1, CD79B, RP11-301G19.1, CIB3, PRLH, CD24, NPY, KIRREL3"
CD4+CTL,"GZMK, GZMA, LILRA4, DEFA3, ARID5B, PTTG1, GBP7, SCN3B, VSIG4, IGHE"
CD4+PD1,"IL21, RP11-73M14.1, FCER1A, PCAT29, BMX, ASB2, ST8SIA1, CLEC4C, KIR2DL4, CPM"
CD4+T,"MARCO, LGI2, SERPINB3, LYPD6B, XXbac-BPG13B8.10, PCAT19, GFI1B, RP11-485M7.3, HBQ1, MYO5B"
CD4+Tmem,"ANXA1, CD74, GPR183, RPS26, RPL36A, AZU1, FOS, TPT1, CD69, CD3D"
CD8+T,"CD8B, CD8A, HLA-B, POU2F3, ISLR, RP11-16K12.1, SIGLEC1, RP11-798K3.3, SLC34A2, KRT16"
CD8+Tmem,"CCL5, GZMK, CD8A, CD8B, HLA-B, HLA-DPB1, CD1E, MT2A, ZEB2, CD300E"
CD8αα(I),"GAPDH, MALAT1, LEF1, CD27, NUCB2, AQP10, PTMA, HLA-DPA1, CD8A, FOLR2"
CD8αα(II),"MT-CO2, SMC4, GAPDH, ACTA1, CTSW, PARP1, CLEC4C, LIMS2, S100A4, MALAT1"
DC1,"CLEC9A, LYZ, XCR1, IRF8, SLAMF8, IDO1, RP11-798K3.3, ZNF366, BATF3, PPY"
DC2,"NLRC4, C1QC, CLEC10A, FCER1A, C1QB, MSLN, FCN1, PRLH, CD300LB, KIR2DL4"
DN(P),"CD99, PTCRA, ATP6V0D2, TUBA1B, STMN1, CCL13, MYOG, XXbac-BPG13B8.10, SERPINB3, U47924.27"
DN(Q),"RPL10, TMSB10, CD1E, MZB1, RP11-733O18.1, MAL, CSF2, PTCRA, DNTT, RPS18"
DN(early),"CD7, DNTT, IGFBP7, FAM150A, RPL3, CD74, LTB, MT-CO2, SIGLEC6, MTRNR2L1"
DP(P),"CD1E, ADGRL4, SRPX, FOLR1, SFRP2, HCAR2, ETV3L, HLA-DQA1, TUBA1B, HK3"
DP(Q),"STRC, MIR133A1HG, DLK1, THY1, MEGF10, TWIST2, STAB2, LTB, LYPD2, MDK"
ETP,"ACY3, SPINK2, DFNA5, WDR49, GP6, IQGAP2, NTS, RP11-403A3.3, PRDM16, GSN"
Endo,"SELE, RAMP3, JAM2, CCL14, MMRN2, ADGRL4, SELP, EMP1, CDH5, CXorf36"
Epi_GCM2,"RP11-637O19.2, GCM2, CASR, CLEC4C, PTH, TBX1, PVALB, LILRA4, PRLH, RP11-761N21.1"
Ery,"HBG1, HDC, CTA-392E5.1, ALAS2, GYPB, FAM178B, CLEC4C, SYCP1, CTA-109P11.4, PRLH"
Fb_1,"VIM, IFITM3, PTGDS, MFAP4, DCN, MDK, PTN, IGF2, SPARCL1, LGALS3"
Fb_2,"COL1A1, CXCL13, CTC-340A15.2, PF4, MGP, RP11-561O23.5, S100A10, COL1A2, ENTHD1, CEBPD"
Fb_cycling,"RARRES2, XKR5, NKX2-5, TMSB15A, CLEC4C, LILRA4, TUBB6, EMP2, TLX1, CD300LB"
ILC3,"IL7R, LINC00299, CD52, CSF2, IL26, SLC1A2, KLRB1, RP11-16K12.1, CD69, XCL1"
Lymph,"RELN, AC002456.2, POF1B, TSPAN11, LILRA4, MID2, PRLH, GPR15, LINC00472, CLEC4C"
Mac,"RNASE1, MS4A7, SEPP1, AGR2, CLEC4E, XCR1, SDS, C1QA, APOE, TYROBP"
Mast,"CMA1, PAQR5, TPSAB1, FCER1A, HDC, GP6, NME8, TPSB2, PRG2, CLEC4C"
Mgk,"RFPL1S, RP11-501J20.5, KCNK10, FCER1A, LILRA4, CLEC4C, NME8, GP6, AL928768.3, NOTUM"
