,Top 10 important genes from the CellTypist model
ASDC,"SCT, AC020636.1, HAMP, AC104590.1, TIMD4, HBG1, LINC01727, AC103724.4, LINC01013, AC100812.1"
B_exhausted,"SLC11A1, LILRB2, ENC1, MPP6, GALNTL6, HSPB1, ITGAX, SYT1, RGS2, HLA-DPA1"
B_immature,"CD9, SOX4, TRIM58, NEIL1, GLUL, HRK, AEBP1, PPP1R14A, AC004585.1, CCL4"
B_malignant,"IGKV1D-8, IGHV1-2, APOD, AC104590.1, PAK3, RAPGEF3, AC100812.1, AL513493.1, SDS, CYP46A1"
B_naive,"CD74, GBP2, CD37, DUSP2, CDKN1A, ID1, SCARA5, LINC01727, IL1R1, KLF4"
B_non-switched_memory,"LILRA4, KLK1, ITGAX, GNG11, CSGALNACT1, RHOC, TUBB6, MS4A1, CRIP2, PPP1R14A"
B_switched_memory,"HOPX, PDE4D, CAMK4, CD74, COCH, CHAD, CRIP2, IGHE, RASSF6, ANK3"
C1_CD16_mono,"C1QB, C1QC, C1QA, CYGB, HIGD2B, SDS, MME, AC006207.1, LINC01727, PAK3"
CD14_mono,"LYZ, S100A8, MTRNR2L8, MTRNR2L12, FCN1, TYROBP, S100A6, CST3, CD74, SAT1"
CD16_mono,"FCGR3A, FTL, SAT1, LST1, IFITM2, RHOC, IFITM3, LTB, MTSS1, PAG1"
CD4.CM,"HBA1, CLEC4C, HBA2, SCT, IGKV1D-33, FOS, KCNK17, SLC4A3, IFI27, HBB"
CD4.EM,"B2M, JUN, TNFAIP3, MKI67, ZFP36, DUSP1, TYMS, GALNTL6, CD69, FOSB"
CD4.IL22,"IL32, S100A4, FOS, MT-CYB, MT-CO3, NFKBIA, LGALS1, JUNB, RPL21, KLF6"
CD4.Naive,"MT-CYB, MT-CO3, MTRNR2L12, MKI67, LTB, RPL21, MALAT1, B2M, RRM2, TYMS"
CD4.Prolif,"MME, SLC12A3, GFPT2, PIGR, RAPGEF3, COL26A1, AL354920.1, LRRC36, LINC01374, ASIP"
CD4.Tfh,"DUSP1, PPP1R15A, ZFP36, FOSB, NFKBIA, ZMAT4, CD69, IGFBP7, JUN, KLF2"
CD4.Th1,"TBX21, TNF, LTA, AC232271.1, GALNTL6, HBA1, AC020636.1, LINC01013, AC020914.1, SOX5"
CD4.Th17,"AC232271.1, AL109914.1, SENP8, AC020636.1, LINC01727, LINC01013, AC006207.1, IL17A, VASN, TCL1B"
CD4.Th2,"IL4, IL5, CYGB, IL1R1, LINC01727, CRLF2, CSNK2A3, FAM66D, GFPT2, AC020636.1"
CD8.EM,"CCL5, NKG7, GZMK, CD8A, CD8B, JUNB, DUSP2, CTSW, CST7, JUN"
CD8.Naive,"CD8B, CD8A, LINC02446, KLRK1, S100B, CTSW, SH2D1B, KLRF1, LY6G6F, FCER1G"
CD8.Prolif,"STMN1, CCL5, IL32, CD3D, AL109914.1, MKI67, CD3E, AC232271.1, TUBA1B, HAMP"
CD8.TE,"NKG7, GZMH, GNLY, CCL5, IL32, FGFBP2, GZMB, CD3E, CD8A, LGALS1"
CD83_CD14_mono,"S100A9, FOS, S100A8, NFKBIA, ACTB, LYZ, TMSB10, FOSB, DUSP1, JUNB"
DC1,"CLEC9A, FAM201A, LINC01727, GFPT2, CORO6, LINC01013, MKRN3, FAM66D, AC100812.1, PAK3"
DC2,"RASAL1, AC103724.4, CCL20, CHAC1, LINC01727, CYGB, HBG1, GFPT2, AC006207.1, RAPGEF3"
DC3,"S100A8, CST3, S100A9, HLA-DRA, LYZ, VCAN, CD74, HLA-DQA1, HLA-DPA1, HLA-DPB1"
DC_prolif,"AC104590.1, PAK3, FAM66D, RAPGEF3, KCNE5, FAM201A, HIGD2B, LINC01727, VASN, GRAPL"
HSC_CD38neg,"NPTX2, MME, TNFSF11, VASN, PAK3, SOX5, AC020636.1, AC005381.1, SPON1, LINC02137"
HSC_CD38pos,"TCL1B, AC104590.1, PAK3, GALNTL6, AC108879.1, GABRB2, SPINK2, LINC01727, CD9, AL109914.1"
HSC_MK,"FAM66D, CYGB, AC006207.1, LINC01013, AL157895.1, AC104590.1, AXL, HOXA1, GALNTL6, AC232271.1"
HSC_erythroid,"DUBR, RASAL1, AC104590.1, EFNB2, HOXA1, RAPGEF3, AL109914.1, GFPT2, LRRC36, GALNTL6"
HSC_myeloid,"CPA3, RASAL1, CCR3, OSCP1, KCNE5, AC006207.1, TCL1B, GFPT2, LRRC36, PGBD1"
HSC_prolif,"HBG1, RAC3, COL26A1, RHEX, EPHA2, VASN, CSNK2A3, FAM66D, HIGD2B, IL9R"
ILC1_3,"TYROBP, CST7, COL26A1, CACNB2, CD7, CCR9, FMOD, GZMK, AC232271.1, GZMA"
ILC2,"RAPGEF3, IL1R1, GFPT2, KCNE5, LINC01013, LINC01151, COL26A1, AC020636.1, MME, MSLN"
