,Top 10 important genes from the CellTypist model
ATI,"AGER, SLC38A11, FAM162B, RPL13AP17, CTD-3064M3.7, CYP1A1, KIF1A, CEACAM6, XCR1, CEL"
ATII,"ZNF385B, SFTPD, ORM1, DKK1, EDN2, LAMP3, RP11-613D13.8, RP11-426L16.10, ESM1, SHISA2"
Aberrant_Basaloid,"PRSS2, EDN2, CELP, CTD-3064M3.7, ATP1A2, ESM1, F2RL3, NTS, LINC00158, PNMA6A"
B,"LINC01781, MS4A1, TNFRSF13C, EBF1, CD79A, LINC00926, IGHD, VPREB3, COMP, PAX5"
B_Plasma,"RP11-137O10.1, JCHAIN, MZB1, IGHG3, RPL13AP17, SMIM24, KB-1980E6.3, IGLV3-1, IGHA2, PRSS2"
Basal,"MIR205HG, KRT17, KRT6A, ESM1, MMP1, CYP4Z2P, FOXP3, EYA2, RP11-71G12.1, CTD-3064M3.7"
Ciliated,"CYP1A1, DEFB4A, LINC01571, TSPAN19, AADACL2, CFAP157, CFAP57, ZBBX, RP11-122M14.1, DEFB4B"
Club,"SFTPB, C9orf24, BNC1, SCGB3A2, FAM131C, RP11-71G12.1, COMP, PNMA6A, SOSTDC1, RP11-758M4.4"
DC_Langerhans,"PRSS2, GPIHBP1, RPL13AP17, NCCRP1, COMP, KIF1A, ANKRD1, KRT1, BNC1, S100B"
DC_Mature,"NCCRP1, SLC22A23, TNNT2, CCR7, LINC00158, RP11-758M4.4, LAMP3, SLC38A11, SYT13, CTD-3064M3.7"
Fibroblast,"IGFBP6, ADAMTS5, IGF2, ANKRD1, TMEM233, APOD, PI16, DCN, AGTR1, PRSS2"
Goblet,"BPIFB1, SELE, ESM1, SCGB3A1, CD207, ANKRD1, ATP1A2, ATP6V1B1, RP11-71G12.1, LAMP5"
ILC_A,"KLRD1, LINC00158, NCCRP1, RPL13AP17, MCTP2, DKK1, IFITM2, LINC02197, RP11-613D13.8, ANKRD1"
ILC_B,"KLRB1, TNNT2, TMPRSS11E, PRSS2, GPIHBP1, ANKRD1, TNFRSF18, CYP1A1, SELE, XCR1"
Ionocyte,"CLCNKB, CEL, SMIM24, LGI4, HEPACAM2, SLC38A11, GPIHBP1, PRSS2, ATP6V1B1, CLCNKA"
Lymphatic,"CCL21, NTS, MMRN1, PROX1, SNCG, ACKR2, TFF3, TM4SF18, SCT, ANKRD1"
Macrophage,"DNAH6, SPP1, MALAT1, NEAT1, CCL2, HSPA7, EMP1, MT-TS2, APOE, CHI3L1"
Macrophage_Alveolar,"LSAMP, FABP4, C1QA, C1QB, APOC1, MT2A, CD74, HLA-DRA, MSR1, CTD-2116N17.1"
Mast,"CPA3, MS4A2, RP11-354E11.2, TPSAB1, IL1RL1, TPSB2, ADAMTS5, ADCYAP1, RP11-609N14.4, RP11-501J20.5"
Mesothelial,"CALB2, PLA2G2A, PRG4, BNC1, ESM1, MSLN, SELE, FHL5, CTD-3064M3.7, RP11-404P21.8"
Myofibroblast,"LUM, CDH11, BMP5, TNNT2, PRKG1, LINC00158, COMP, TDO2, COL6A3, RPL13AP17"
NK,"CD247, GZMB, LINGO2, PRSS2, CLIC3, KLRF1, BNC2, LINC02195, CARD11, DKK1"
PNEC,"TPH1, PHGR1, SLC38A11, KCNH2, CHGB, ACY3, NKD2, CYP1A1, GPIHBP1, ESM1"
Pericyte,"TAGLN3, ANKRD1, NDUFA4L2, SCT, NCCRP1, CCL21, RPL13AP17, XCR1, ADAMTS5, CTD-3064M3.7"
SMC,"DES, TNNT2, WISP2, ACTG2, RP11-758M4.4, PLN, TAGLN3, PRSS2, RPL13AP17, EDN2"
T_CD4,"ANK3, RUNX2, RBPJ, RYR2, KIR3DL1, ADAM19, ITGA2, KIR2DS4, CEL, ARHGAP15"
T_Cytotoxic,"NKG7, CD8A, KLRC4-KLRK1, CCL5, CD8B, SMIM24, A2M, CCL4, MALAT1, CD3D"
T_Regulatory,"IL2RA, TNFRSF4, TNFRSF18, CD247, TOX, AC079610.1, CYP1A1, RP11-758M4.4, ESM1, RP11-71G12.1"
VE_Arterial,"DKK2, LINC00551, IGFBP3, XCR1, PRSS2, RPL13AP17, SLC38A11, RP11-758M4.4, LINC00158, MGP"
VE_Capillary_A,"SOSTDC1, APLN, FENDRR, SMIM24, RP11-613D13.8, RP11-137O10.1, CYP1A1, SELE, PRSS2, TPSD1"
VE_Capillary_B,"FCN3, VWF, SMIM24, CCL19, ANKRD1, NCCRP1, GGTLC1, PRSS2, LINC00158, RP11-758M4.4"
VE_Peribronchial,"COMP, ZNF385D, SPARCL1, RP11-216L13.16, ANKRD1, SMIM24, TNNT2, DKK1, PLVAP, XCR1"
VE_Venous,"ACKR1, PRSS2, C7, RPL13AP17, RP11-613D13.8, RP11-71G12.1, NDUFA4L2, ESM1, FAM162B, SLC38A11"
cDC1,"WFDC21P, ANKRD1, ESM1, TAGLN3, CTD-3064M3.7, TMEM233, TPSD1, DMRT2, LAMP3, TNNC1"
cDC2,"CCL17, ACY3, CLEC10A, FCER1A, CELP, NTS, AFF3, PKIB, MFSD6L, STX3"
cMonocyte,"S100A8, S100A9, S100A12, SIPA1L1, IL1R2, VCAN, THBS1, FCN1, EDN2, CST3"
ncMonocyte,"SAT1, NAMPT, MT2A, WARS, IFITM2, AC007192.4, MTCO2P12, COTL1, PLAC8, RNF144B"
pDC,"ANKRD53, FAM160A1, CCL19, RPL13AP17, RP11-758M4.4, SELE, TCL1A, GPIHBP1, STC2, LINC00158"
