,Top 10 important genes from the CellTypist model
AT0,"SCGB3A2, SLPI, CD207, HLA-DPB1, TYRP1, SH2D6, KCNN2, TRH, GATA5, GDF15"
AT1,"HOPX, EMP2, AGER, SFTA2, SFTPB, CCL11, KCNN2, DSTN, TRGV2, SPIC"
AT2,"SFTPC, NAPSA, SFTPB, SFTPA1, SFTPA2, SLPI, NPC2, SERPINA1, OMG, S100A6"
AT2 proliferating,"PEG10, TPSG1, SFN, TYMS, TK1, SIGLEC6, CCL11, SCT, TNFSF11, BRINP3"
Adventitial fibroblasts,"DCN, SFTPC, MT2A, FIBCD1, NTNG2, CFD, IGFBP6, LUM, GPRC5A, IGFBP4"
Alveolar Mph CCL3+,"MT2A, HLA-DRB1, C1QC, SOD2, CCL4L2, RPS4Y1, MT1E, CCL4, GREM2, BRINP3"
Alveolar Mph MT-positive,"MT1X, MT2A, HMOX1, CCL18, CCL11, DTX1, GPR25, VEGFD, MT1F, TRGV2"
Alveolar Mph proliferating,"CCL11, CDH19, PCLAF, TYMS, KLK14, TFF2, GPR25, BRINP3, PAEP, JPH2"
Alveolar fibroblasts,"RGCC, A2M, SIGLEC6, TFF2, RP11-501J20.5, GNAO1, GPX3, KLK14, TRGV2, SMR3A"
Alveolar macrophages,"FTH1, FTL, C1QB, FABP4, S100A11, HLA-DRA, C1QA, ALOX5AP, S100A10, NKG7"
B cells,"HLA-DRA, MS4A1, CD74, TRGV2, ROCR, CDK15, CCL11, CDH19, GPR182, CD79A"
Basal resting,"KRT15, KRT17, RPLP1, CLU, BCAM, CYB5A, CDH19, RPS4Y1, RPL41, ALDH3A1"
CD4 T cells,"SFTPC, LCN2, IL7R, LTB, OTC, MALAT1, CXCR4, VIM, KCNN2, AVPR1A"
CD8 T cells,"CCL5, MALAT1, NKG7, TNFSF11, SCGB1A1, S100A8, HLA-DRA, CD3D, FABP4, TMSB4X"
Classical monocytes,"S100A8, S100A9, LYZ, TYROBP, SCGB1A1, SCGB3A1, GNLY, SAT1, FTL, S100A12"
Club (nasal),"WFDC2, PSCA, S100A4, FABP5, SAT1, CSF3, IFI27, SERPINB3, S100A6, ALDH3A1"
Club (non-nasal),"SCGB3A1, SCGB1A1, SLPI, WFDC2, TFF3, S100P, LCN2, TYRP1, TGM2, LINC01705"
DC1,"CLEC9A, KCNN2, BRINP3, GPR25, APLN, AADACL2, GPR182, SPIC, HOXD9, OTC"
DC2,"HLA-DPB1, HLA-DRA, HLA-DPA1, HLA-DQA1, HLA-DRB1, LYZ, CD74, TYROBP, CST3, HLA-DQB1"
Deuterosomal,"CDC20B, CCNO, CCL11, TYRP1, TRGV2, KCNN2, MYOC, GPR25, SPIC, OTC"
EC aerocyte capillary,"EDNRB, EMCN, HPGD, IL1RL1, CCL11, CD207, AQP1, TYRP1, CDH19, HSPB3"
