,Top 10 important genes from the CellTypist model
AT1,"RTKN2, AGER, ITLN2, TRBV12-4, JPH2, LAMC3, MSMP, SERTM1, TRBV4-1, MATN3"
AT2,"SLC34A2, SFTPD, RP11-210L7.3, PEBP4, ALPL, CXCL17, LAMP3, FMO5, LRRK2, SLC6A14"
B Cells,"MS4A1, CD79A, RP5-887A10.1, RP11-731F5.2, IGHV5-78, VPREB3, FCRLA, RP11-876N24.2, CXCR5, TNFRSF13B"
Basal,"CHST9, HEPACAM2, IGFBP2, S100A2, PERP, LGALS7, DKK3, CHGB, IGFBP7, AC002454.1"
Ciliated,"RIIAD1, ELF3, FXYD3, AGR3, KRT8, GSTP1, CFAP47, SLC44A4, LRRC46, SLPI"
Differentiating Ciliated,"C20orf85, C9orf24, TPPP3, SCGB3A1, SFTPB, FAM183A, RSPH1, TMEM190, CAPS, C5orf49"
Endothelial Cells,"MMRN2, CLEC14A, ADGRL4, SELP, VWF, JAM2, SOX17, SLCO2A1, ACKR1, NOSTRIN"
Fibroblasts,"PI16, CKMT2, VIT, CPB1, IGFBP6, TRBV4-1, CLEC9A, MFAP5, IL24, PODN"
HAS1 High Fibroblasts,"LINC01060, RP11-210L7.3, GALNT13, ROR1-AS1, PRRG3, TRBV12-4, RP11-731F5.2, SFRP4, LINC01088, TRBV6-6"
KRT5-/KRT17+,"NKAIN4, PRSS2, SPRR1A, RP5-967N21.11, CLEC9A, TRBV4-1, PALM2-AKAP2, COMP, CLDN2, ELFN1-AS1"
Lymphatic Endothelial Cells,"GPR182, STAB2, MGAT4C, CCL21, PROX1, RELN, HOXD9, SCN3B, RP11-322E11.5, HOXD8"
MUC5AC+ High,"TFAP2B, TNFSF11, ELFN1-AS1, TRBV12-4, SPIC, RP11-731F5.2, MSMP, TRBV6-6, RP11-554I8.2, TRBV4-1"
MUC5B+,"SLPI, WFDC2, BPIFB1, SYT4, AGR2, FXYD3, AC090498.1, KRT19, DKK1, FOLR1"
Macrophages,"LYZ, TYROBP, ACP5, FTH1, MS4A7, MRC1, DIRAS1, DPYS, RP11-73G16.2, HLA-DRA"
Mast Cells,"CPA3, GCSAML, TPSAB1, TPSB2, GATA1, MS4A2, NTRK1, CDK15, CALB2, GAP43"
Mesothelial Cells,"CPA4, ITLN1, GALNT9, CALB2, TMEM151A, SERTM1, KLK7, NTNG1, IL24, RGS4"
Monocytes,"EEF1A1, THBS1, IL7R, TLR9, SFTPC, S100A4, CTSS, S100A8, VAMP5, COTL1"
Myofibroblasts,"BMP5, COMP, RARRES2, RP5-1172A22.1, COL1A1, ROBO2, WNT2, TDO2, CDH11, PALM2-AKAP2"
NK Cells,"TYROBP, GZMB, CCL3, KLRF1, KLRB1, HOPX, GNLY, CLIC3, CD7, MT-ND1"
PLIN2+ Fibroblasts,"C7, DCN, LAMC3, CYP26B1, JPH2, SLC38A11, SPRR1A, GFPT2, PDPN, TRBV12-4"
Plasma Cells,"MZB1, AMPD1, IGKV3OR2-268, MIXL1, ELFN1-AS1, RP11-689B22.2, STAB2, TRBV12-4, RP11-290F5.1, TRBV4-1"
Proliferating Epithelial Cells,"PBK, NMU, SFN, AL928768.3, PEG10, PTTG1, IFNG-AS1, TRBV12-4, TK1, IQGAP3"
Proliferating Macrophages,"H2AFZ, TUBB, FTL, CCNB2, CCL5, UBE2C, STMN1, KIAA0101, TRBV12-4, CST7"
Proliferating T Cells,"HMGB2, SPRR1A, RRM2, GZMA, TNFSF11, LINC00636, TFAP2B, AMPD1, AC007880.1, CCL5"
SCGB3A2+,"WFDC2, CD74, SFTA2, MMP7, CEACAM6, NAPSA, IGFBP2, SFTPA1, GALNT9, PALM2-AKAP2"
SCGB3A2+ SCGB1A1+,"MGP, SCGB1A1, SCGB3A1, SCGB3A2, CYB5A, WFDC2, CYP2C18, CXCL8, SDC4, SMIM22"
Smooth Muscle Cells,"FHL5, JPH2, FOXC2, LMOD1, SSTR2, ASPN, CNN1, WISP1, ACTG2, ADAMTS4"
T Cells,"CD3E, PTPRC, CCL5, B2M, IFITM1, ADAMTS1, IL32, CD3D, RP11-876N24.2, MALAT1"
Transitional AT2,"SFTPC, SLPI, GSTA1, MUC1, PGC, CAV1, LMO7, TPPP3, EMP2, MT-CO2"
cDCs,"PPP1R14A, HLA-DQA1, AREG, AC011893.3, TPSG1, LAMP3, CST7, IL7R, SERPINF1, INHBA"
pDCs,"CLEC4C, PACSIN1, SHD, SCT, TLR9, AC011893.3, KCNK10, KCNA5, SLC12A3, DPPA4"
