,Top 10 important genes from the CellTypist model
B cells,"NIBAN3, LINC00926, CD74, CD83, MS4A1, HLA-DRA, AL139020.1, AC022239.1, CD79A, BANK1"
B-cell lineage,"IGLL1, VPREB1, NPY, CCDC81, LINC01644, OR2A25, IGKV6-21, CD79B, XCR1, ZFHX4-AS1"
Cycling cells,"IGKC, PCLAF, STMN1, IGHA1, HMGB2, MIR600HG, TRBV11-1, AL136456.1, LCNL1, ASPM"
DC,"CST3, HLA-DQA1, GPX1, HLA-DPB1, JAML, AC103858.3, AC011477.2, TRBV11-3, AC022126.1, HLA-DQB1"
DC precursor,"PCLAF, RNASE2, RP11-1275H24.3, TRBV11-3, IL22, RP11-589C21.6, PAGE5, TRBV10-2, CTAG2, AC022126.1"
Double-negative thymocytes,"PTCRA, IGLL1, CD99, FXYD2, PDLIM1, SELL, MFAP4, MZB1, GALNT2, ADA"
Double-positive thymocytes,"SMPD3, SH3TC1, CD1B, ELOVL4, CD8B, ARPP21, RP11-144L1.4, CD52, TCF7, AQP3"
ETP,"ACY3, LINC01644, AL512306.2, NPTX2, CMA1, PAGE5, AL136456.1, TRBV10-2, AC022126.1, AC005614.1"
Early MK,"AC098614.1, PCP2, CIB3, MIR600HG, AC067945.4, AL137186.2, HLA-DPB2, TRAV24, BMS1P1, CTAG2"
Endothelial cells,"SELE, RAMP3, ACKR1, ADGRL4, SOX17, VWF, CFI, ZNF385D, MMRN2, NRN1"
Epithelial cells,"PSMB11, FOXN1, ASCL1, FOXG1, PAX1, WFDC2, ISL1, TDGF1, SLIT3, CDH3"
Erythrocytes,"CTA-363E6.6, RP11-797H7.5, CTA-392E5.1, RP11-1275H24.3, AC006115.2, LINC01644, SLC10A4, AC108879.1, RP11-1070N10.3, MIR600HG"
Erythroid,"FAM178B, KLF1, ANKRD34B, TRBV11-3, SIGLEC17P, IL1RAPL1, TRBV11-1, IFIT1B, OSTN-AS1, DTX2P1-UPK3BP1-PMS2P11"
Fibroblasts,"NTRK2, SMOC2, DPT, PRRX1, OLFML1, EBF2, SFRP1, RSPO3, PCDH18, DCLK1"
Granulocytes,"AC104809.2, CTAG2, AC006115.2, CLEC4C, SIGLEC17P, AC005614.1, IGKJ5, TRAV24, AL512306.2, AL450352.1"
HSC/MPP,"HBA2, HBG2, HBA1, SIGLEC17P, RACK1, RP11-84C10.2, SPINK2, AVP, AC111006.1, FAM30A"
ILC,"NKG7, TYROBP, GNLY, FCER1G, FGFBP2, CCL3, KLRB1, PTGDS, CLIC3, CTSW"
ILC precursor,"RBM24, KIAA0087, HPN, RP11-1070N10.3, CAP2, AC005614.1, AL031733.2, PAGE5, MRPL37P1, AP001059.6"
MNP,"MTRNR2L10, AL109914.1, AC008040.1, AL512306.2, RPL17P40, AC022126.1, AL136456.1, GP1BB, TRBV10-1, SOST"
Macrophages,"AC026369.3, GNLY, LPL, PAQR5, PCOLCE2, GLDN, SELENOP, FTL, CD5L, PAGE4"
Mast cells,"AL157895.1, TPSAB1, IL1RL1, CPA3, IL1RAPL1, CCN3, CLC, SIGLEC6, AC006115.2, LINC02100"
Megakaryocyte precursor,"FCER1A, AC022126.1, ADRA2A, TRBV10-2, U62631.1, FCRL4, TRBV10-1, LINC01644, AC007368.1, AL512306.2"
Megakaryocytes/platelets,"AL157895.1, AC103858.3, AL512306.2, AC092902.4, IGKJ5, AC234582.1, AC016168.2, ANKRD34B, AL355488.1, OSTN-AS1"
Mono-mac,"NKG7, KLRB1, HLA-DRA, SPRR3, KRT13, OR2A25, AC067945.4, AC006115.2, S100A2, AL157895.1"
Monocyte precursor,"RETN, FCN1, AC018754.1, AL136456.1, LRRC37A4P, OR2A25, GPR25, TPSG1, AC067945.4, XCR1"
Monocytes,"MARC1, AC020656.1, S100A9, RP11-1143G9.4, S100A4, NEAT1, CRIP1, ANKRD34B, LYPD2, IGKC"
Myelocytes,"LYZ, FTH1, S100A6, FTL, MT-RNR2, SRGN, AL136456.1, ACTB, PTPRC, TRBV10-2"
Plasma cells,"TXNDC5, IGHA2, MZB1, DUSP26, JCHAIN, IGLV5-48, AC106882.1, ITGA8, IGKV1D-33, NPTX2"
Promyelocytes,"PRTN3, AL136456.1, AC092068.2, MPO, OSTN-AS1, AC246817.1, TRBV10-1, AC011477.2, LINC02100, ELANE"
T cells,"CD3E, PRKCQ-AS1, MALAT1, CD3D, LIME1, SNHG29, PLAAT4, TRAC, GZMK, VIM"
pDC,"SCT, LRRC26, RP11-1070N10.3, IGKJ5, CTAG2, AC007381.1, AC005614.1, ANKRD34B, IL17A, LCNL1"
pDC precursor,"MYBPH, AC125437.1, AP002026.1, AC007368.1, AC111006.1, FMO2, AL355488.1, U62631.1, LINC02100, CTAG2"
