,Top 10 important genes from the CellTypist model
Age-associated B cells,"HCK, EBI3, FGR, SOX5, MIR155HG, ITGAX, WARS, LINC01644, FCRL4, FCRL3"
Alveolar macrophages,"IFI30, MRC1, RND3, MARCO, LPL, FN1, FTH1, SERPING1, INHBA, ST5"
B cells,"HBG2, HLA-DQA2, HBA2, CD79A, HLA-DRA, HLA-DRB1, PTMA, MALAT1, HBA1, CD74"
CD16+ NK cells,"FCER1G, GNLY, TYROBP, IGFBP7, GZMB, PTGDS, MYOM2, FCGR3A, SPON2, SH2D1B"
CD16- NK cells,"TYROBP, LDB2, CCL3, CLIC3, NKG7, GSTP1, FCER1G, IRF8, CXCL3, ADGRG3"
CD8a/a,"CD27, NUCB2, LEF1, ZNF683, PRKCH, TRBV10-2, IGKJ5, AC006115.2, AC018754.1, PAGE5"
CD8a/b(entry),"CD1E, ITM2A, SATB1, RPL10, MALAT1, CD44, TMSB10, FTL, CTAG2, RPS27"
CMP,"AL136456.1, SCART1, SIGLEC17P, LIX1-AS1, TRBV10-2, AC108879.1, RP11-589C21.6, MTDHP3, AC022126.1, AL731577.2"
CRTAM+ gamma-delta T cells,"KLRD1, ITGAD, TYROBP, VCAM1, GCSAM, TRDV1, CD3D, IKZF2, TRBV10-3, RP11-1275H24.3"
Classical monocytes,"MARC1, AC020656.1, S100A9, AC018754.1, CST3, AC020916.1, ANKRD34B, TRBV10-1, CD207, LINC02100"
Cycling B cells,"DTX2P1-UPK3BP1-PMS2P11, BX640514.2, AL136456.1, CTAG2, AC022126.1, TRBV10-2, GPIHBP1, KIAA0087, LINC01811, C11orf72"
Cycling DCs,"MMP12, FTH1P8, MIR600HG, AL136456.1, AL109914.1, AC022126.1, AC007298.1, RP1-244F24.1, AC067945.4, AC009226.1"
Cycling NK cells,"PCLAF, IGKC, AC022126.1, IL22, HLA-DPB2, ASPM, RPS4Y2, TRBV10-1, LINC02029, AC005614.1"
Cycling T cells,"PCLAF, AL136456.1, BASP1-AS1, SNX29P1, KIAA0087, TRAV24, TPSG1, RNVU1-3, SYCP1, AC009226.1"
Cycling gamma-delta T cells,"SYCP1, XCR1, AC123595.1, OR2A25, AC108879.1, GPR25, RP11-1070N10.3, AC103858.3, SNORA67, TCL1B"
Cycling monocytes,"SOX17, TRBV10-1, AC111006.1, CTAG2, SYN3, TRBV10-2, AC234582.1, AL109615.2, CMAHP, AL136456.1"
DC,"FCER1A, GPX1, RGS1, TRBV10-2, FOXH1, TRBV11-3, MIR600HG, CAP2, KIAA0087, ANKRD34B"
DC precursor,"PCLAF, RNASE2, ANKRD34B, AL136456.1, AL137186.2, AL450352.1, RP11-354E11.2, KIAA0087, TRBV10-2, TRAV24"
DC1,"CLEC9A, WFDC21P, AC005614.1, TRBV11-3, SIGLEC17P, RP11-589C21.6, TRBV10-2, AC011477.2, AC009226.1, AC092068.2"
DC2,"JAML, RPL41, PRDM16, CLEC10A, AC022126.1, TRBV10-2, IL22RA2, HLA-DQB1, HLA-DRB5, AP002026.1"
DC3,"AL136456.1, FCER1A, AC006115.2, MIR600HG, AC022126.1, SYCP1, CMA1, IL17A, AC005614.1, FCN1"
Double-negative thymocytes,"PTCRA, IGLL1, CD99, FXYD2, PDLIM1, MZB1, GALNT2, MFAP4, SELL, CD7"
Double-positive thymocytes,"SMPD3, SH3TC1, CD1B, ELOVL4, CD8B, ARPP21, CD52, RP11-144L1.4, RAG2, AQP3"
ELP,"FMO2, AC005614.1, NPTX2, MIR1-1HG-AS1, PAGE5, AP002026.1, FOXH1, AC022126.1, AC246817.1, LINC02100"
ETP,"ACY3, AC067945.4, FCRL4, LINC02100, OSTN-AS1, NPTX2, KIAA0087, TRBV11-3, AC009226.1, RP11-589C21.6"
Early MK,"CCDC175, AC098614.1, LINC01644, AL450352.1, AL512306.2, SNX29P1, TRAV24, CTAG2, AL354892.2, AL136456.1"
Early erythroid,"FAM178B, TRAV24, AC234582.1, AC009226.1, APOC1, CTAG2, ZNF812P, AC022126.1, AC017104.6, AC111006.1"
Early lymphoid/T lymphoid,"HBG2, HBA2, ATP5F1E, HBA1, RACK1, SNX29P1, IGKJ5, FTH1P8, MIR600HG, AL136456.1"
Endothelial cells,"RAMP3, SELE, ACKR1, SOX17, ADGRL4, PLVAP, CFI, MMRN2, RP11-536O18.1, MEOX2"
Epithelial cells,"PAX1, FOXN1, ASCL1, PSMB11, FOXG1, WFDC2, ISL1, TDGF1, COL17A1, CDH3"
Erythrocytes,"RP11-797H7.5, CTA-392E5.1, CTA-363E6.6, RP11-423H2.3, RP11-1275H24.3, AL157895.1, LINC02100, AC092068.3, CLEC4C, SIGLEC17P"
Erythrophagocytic macrophages,"SELENOP, IFI30, CCL24, AC110995.1, AL512306.2, AP001059.6, AL109615.2, C1QC, AC022126.1, OR2A25"
Fibroblasts,"DPT, SMOC2, SFRP1, PRRX1, MXRA5, EBF2, NTRK2, OLFML1, SRPX, GLT8D2"
Follicular B cells,"MT-RNR2, IGHA1, JCHAIN, GAS5, RPL41, BX640514.2, AC108879.1, AL512306.2, SYCP1, AL731577.2"
Follicular helper T cells,"KLRB1, CH25H, MAF, SOCS3, CXCR5, LINC01811, AC111006.1, LPAR6, AC006115.2, AREG"
GMP,"NRG4, FOXH1, AC020978.7, AL136456.1, U62631.1, AL137186.2, TRBV11-3, CTAG2, AC005614.1, IGKJ5"
Germinal center B cells,"AC022126.1, CTAG2, LINC02029, OR2A25, RGS13, SELE, KIAA0087, TRBV11-3, AL136456.1, AC007878.1"
Granulocytes,"AC009226.1, CTAG2, ADCYAP1, AC111006.1, AC007368.1, SIGLEC17P, TRBV11-3, RPS26P8, PAGE5, AL136456.1"
HSC/MPP,"AVP, SPINK2, AC005614.1, SOST, AC111006.1, TRBV11-3, LINC01644, SIGLEC17P, AL136456.1, CTAG2"
Hofbauer cells,"CGA, PAGE4, XAGE3, TRBV10-2, AL512306.2, SLC28A1, CTAG2, IL17A, BASP1-AS1, AC105942.1"
ILC,"AREG, AC006115.2, IL7R, LST1, AC067945.4, AC005614.1, AC008040.1, AC022126.1, AC092068.3, AL512306.2"
ILC precursor,"RBM24, HUNK, AC022126.1, NMU, KIAA0087, IGLV2-5, AC111006.1, CTAG2, AL137186.2, AC103858.3"
ILC1,"LINC01013, AC022126.1, FOXH1, AL512306.2, AL355488.1, AC108879.1, XCR1, TRAV24, TRBV11-1, IGHV7-4-1"
ILC2,"AL731577.2, SYCP1, RPS3AP34, AC018754.1, TRBV11-1, OSTN-AS1, FSTL4, AL136456.1, AC007368.1, AL450352.1"
ILC3,"AL136456.1, AC244502.1, GATA3-AS1, HYMAI, CTAG2, FOXH1, IL7R, SOST, LINC02029, WNT16"
Intermediate macrophages,"AC092484.1, PAGE5, AC079753.2, OR2A25, LINC01644, AC022126.1, RP11-164H13.1, TCL1B, IGHE, IL22"
Intestinal macrophages,"STAB1, RP11-589C21.6, AC022126.1, AC005614.1, AC109630.1, AC111006.1, AL645608.7, SELENOP, AC008040.1, AC105942.1"
Kidney-resident macrophages,"OR2A25, AC022126.1, TRBV10-2, AC020978.7, AP001059.6, AC005614.1, AL136456.1, U62631.1, AC093627.10, LINC01644"
Kupffer cells,"TIMD4, SNORD3D, CETP, AC022126.1, IGKJ5, LINC01644, AL450352.1, OR2A25, MALAT1, TRBV11-1"
Large pre-B cells,"IGLL1, VPREB1, LINC01483, IGHE, CUX2, TCL1A, AL157895.1, LINC01644, SOX17, TRBV10-1"
Late erythroid,"LINC01644, IFIT1B, RP11-589C21.6, AC020978.7, AP001059.6, TCL1B, KLRF2, CA1, SIGLEC17P, CTAG2"
MAIT cells,"KLRB1, CEBPD, GZMK, IL7R, LINC01871, KLRG1, LINC01709, SLC4A10, NCR3, TRAV1-2"
MEMP,"CTAG2, TRBV10-2, AC067945.4, ANKRD34B, FMO2, AL355488.1, SOX17, AL137186.2, AC098614.1, FCRL4"
MNP,"MTRNR2L10, AC022126.1, LINC01644, AC111006.1, PAGE5, IGKJ5, TRBV11-1, AL136456.1, SOST, AC008040.1"
Macrophages,"GNLY, FTL, C1QA, RNASE1, APOE, AIF1, APOC1, C1QB, PTPRC, IGFBP1"
Mast cells,"AL157895.1, TPSAB1, CPA3, IL1RL1, SIGLEC6, IL1RAPL1, CLC, CCN3, MIR600HG, TMEM233"
Megakaryocyte precursor,"FCRL4, LINC01644, AC108879.1, FOXH1, AL136456.1, PCDH9-AS1, AC006115.2, TRBV11-1, FCER1A, CLEC4C"
Megakaryocyte-erythroid-mast cell progenitor,"FCER1A, HBD, SIGLEC17P, MRPL37P1, SPINK4, TRAV24, AC022126.1, CKB, AL136456.1, CLEC4C"
Megakaryocytes/platelets,"AL157895.1, LY6G6F-LY6G6D, AL354892.2, AC011477.2, AC009226.1, AC108879.1, ARHGEF15, AC005614.1, AC022126.1, XCR1"
Memory B cells,"RPS17, MS4A1, HLA-DRA, RACK1, MIR1244-2, CD74, IGKC, RPL41, LINC01857, MT-ND3"
Memory CD4+ cytotoxic T cells,"GZMK, GZMA, TRBV10-2, AC009226.1, IGLV9-49, AL031733.2, AL136456.1, CTAG2, AC006115.2, C11orf72"
Mid erythroid,"AC018754.1, RP11-1275H24.3, TRBV10-2, AC111006.1, AC108879.1, AC022126.1, AL136456.1, AC103858.3, AL450352.1, AL031733.2"
