,Top 10 important genes from the CellTypist model
AT1 ,"RTKN2, ST6GALNAC5, SCEL, CNTN6, CCDC85A, AGER, MAP2, ANKRD29, MYRF, LINC01290"
AT2,"TMEM163, LAMP3, LHFPL3, TTN, SCN1A, SFTPC, CDC20, TFPI, ZNF385B, KIAA1324L"
B_memory,"BLK, RAB33A, BANK1, PDE4D, SOX17, KIR3DL1, IL1A, AC079117.1, LILRA1, HLA-DQA2"
B_naive,"FAM129C, IGHM, AFF3, IGHD, LINC00158, KIR3DX1, NAV2-AS1, KIR3DL1, HAND2, CASC20"
B_plasma_IgA,"IGHA1, DUSP5, JCHAIN, KIR3DX1, CD180, KIR3DL1, SMOC1, NAV2-AS1, LINC00840, ASCL1"
B_plasma_IgG,"BIRC7, IGHGP, IGHG1, TNFRSF13C, LINC00840, FCER1A, OR2AT4, TNFSF11, IGHG2, KIR3DL1"
B_plasmablast,"IGHV3-48, CD180, CASC20, KIR3DL1, KIR3DX1, GPR20, RAB33A, HAND2, MYOZ2, LILRA1"
Basal,"KRT15, PTPRZ1, CCL23, TP63, CLDN1, ADGRB2, SLC17A7, KIR3DL1, KIAA1217, SULT1E1"
CD4_EM/Effector,"PARP8, BNC1, CXCL5, TSPAN19, GP9, FOXD3, ADGRB2, ADCYAP1, PTPN13, HIST1H3H"
CD4_TRM,"MSC, OR2AT4, LINC00158, FAM171A2, POU2F2, PREX1, CLEC1B, SLC17A7, NAV2-AS1, GADL1"
CD4_naive/CM,"ANK3, TXK, INPP4B, MAML2, KIR3DL1, LEF1, CLEC10A, TNFSF11, TC2N, SOX18"
CD8_EM,"PARP8, FAM129A, KIF21A, CALB2, CBLB, FOSB, C7orf57, KCNH6, TPSAB1, GPR20"
CD8_EM/EMRA,"SAMD3, FCER1A, CD300LB, PLA2G4C-AS1, BIRC7, FFAR2, NAV2-AS1, CLEC10A, HSPB7, TMEM59L"
CD8_TRM,"CDC20, PLCB1, DRAXIN, CBLB, HLA-DQA2, LINC01016, AOAH, NFE2, MPP7, CCR2"
