,Top 10 important genes from the CellTypist model
AT1,"LINC01513, PKMYT1, TIMP3, ASIC2, TROAP, RBMS3, CLEC2D, CELF2, AC073050.1, GATA2"
AT2,"SFTPB, AL355499.1, MACROD2, MALAT1, AC109466.1, LHX6, STC1, AC004862.1, AUTS2, ELFN1"
Activated B cells,"BANK1, MALAT1, ARHGAP24, CADM3-AS1, IGHGP, PTPRG, AFF3, LINC01320, MSMB, HSP90AA1"
Adventitial FB,"LAMA2, ABCA10, SCARA5, MEG3, ABCA9-AS1, ABCA9, MALAT1, RBMS3, GPC6, SULT1C4"
Airway basal,"MIR205HG, CHST9, HAS1, LINC01513, EGFR, SELE, NTF3, INHBB, TP63, ALAS2"
Airway ciliated,"USP2-AS1, LINC01513, CYP2F1, WDR66, TEKT1, AC007529.2, DRC7, CFAP52, CALB2, PCSK1N"
Airway club,"SFTPB, ALCAM, LIMCH1, BEGAIN, SDK1, MECOM, CLIC6, NEDD4L, AC019117.1, MACROD2"
Airway goblet,"CHST9, USP2-AS1, SFTPB, SULT1E1, BPIFB1, BNC1, CCNB1, AP000561.1, HAS1, LINC01513"
Airway mucous,"SFTPB, PTPRN2, SNAP91, PLA2G2A, LINC00342, LINC01876, MSMB, LMO7, PRKCA, SMOC1"
Airway smooth muscle,"MYH11, SYNPO2, ACTG2, MYOCD, CARMN, SORBS1, CASQ2, PRUNE2, PDZRN4, DLG2"
Alveolar FB,"PRKG1, LAMA2, RBFOX1, TMCO1, LHX6, SCN3B, LINC00486, FOSB, TRIM29, TEKT1"
Alveolar macrophages,"FTL, DES, FN1, POSTN, ZBBX, CTSD, INHBB, TCF7L2, RAB1A, SVIL"
Arterial endothelial cells,"DKK2, ENPP2, MSMB, ARGLU1, CSMD1, IGHD, AC005358.1, THSD7A, CPAMD8, CASC20"
B cells,"AFF3, IGLC1, PCSK1N, MT-ND3, BACH2, PKP1, BANK1, OLFM4, CASQ2, HIP1"
CD4+ T cells,"ANK3, RBPJ, PCSK1N, SELE, THEMIS, IL7R, ADAM19, NXPH1, UNC13A, DPP4"
CD8+ T cells,"PKP1, A2M, SULT1E1, AFF3, AOAH, CLDN3, IQCD, TPRG1, LINC02388, SNAP91"
Capillary endothelial cells,"ADGRL2, PRKG1, NLRP7, CALB2, LINC01727, SELE, OLFM4, KALRN, COX4I2, NEDD4L"
Cycling NK/T cells,"SLC4A1, MSMB, SPTA1, CASC20, ASPM, AFF3, MKI67, VCAN, RRM2, AFF2"
Cycling epithelial,"TMSB4X, RPL13, PTMA, RPL13A, LINC01513, IL7R, B2M, SFTPC, RPLP1, IGHD"
Dendritic cells,"AFF3, PLXDC2, HDAC9, NEAT1, THEMIS, DOCK4, IRF4, AUTS2, ITGA4, PKMYT1"
ECM-high epithelial,"SFTPB, COL3A1, CACNA1C, MACROD2, COL6A3, MRC1, COL1A2, HSP90AA1, CALD1, CD96"
Endothelial cells (general),"HAS1, SLC6A1, SIK2, DACH2, CASC20, NRXN3, BMP6, SCN3B, AC069277.1, LINC01513"
Endothelial cells (other),"LAMA2, PLXDC2, HSP90AA1, LINC01513, LINC01478, RBFOX1, IGHD, MT-ATP6, PRKG1, OLFM4"
Inflamed endothelial cells,"SERPINE1, ADGRL2, OLFM4, IGFBP4, UBE2C, NAV2, CALB2, MDM2, MALAT1, LINC01320"
Intermediate pathological FB,"MALAT1, AQP4-AS1, ADGB, COL6A3, LINC01122, TTLL9, ARHGAP31, MGAT1, SFTPB, NCALD"
Mast cells,"KIT, AL049647.1, CDK15, HAS1, SYTL3, CASC20, CPA3, CYP8B1, FHL5, SELE"
Mesothelial FB,"RBFOX1, AP000561.1, CALB2, HAS1, CDH12, BNC1, CASC20, TMEM178B, NOL4, LHX6"
Monocyte-derived macrophages,"LINC01513, COX4I2, HAS1, CDH6, CADM3-AS1, CXCL14, F13A1, ARHGEF15, AC005537.1, AC112770.1"
Monocytes,"VCAN, SLC8A1, AOAH, MT-ND3, RNF144B, MT-CO2, TBXAS1, VCAN-AS1, LRRK2, FCN1"
NK cells,"GNLY, NCAM1, KLRF1, ZEB2, CD247, LINC02384, AC243829.2, PDGFD, MYBL1, MT-ATP6"
Neuronal cells,"RELN, GNAT3, MGAT4C, PROX1-AS1, PROX1, CYP8B1, AC004862.1, MMRN1, AL357507.1, LINC01748"
Other FB,"PRKG1, HECW1, PTPRK, LINC02388, ITGBL1, HPSE2, LAMA2, AP000561.1, RBFOX1, FOXP2"
Pathological FB,"COL1A2, COL3A1, LUM, LINC02388, A2M, AC112770.1, NRXN1, DCN, FN1, COL1A1"
Pericytes,"CDH19, EGFLAM, COL4A2, HAS1, PRKG1, TRPC6, CALB2, COL4A1, AL589787.1, OLFM4"
Plasma cells,"IGHG1, TXNDC5, IGHG3, IGHG4, HSP90B1, JCHAIN, TENT5C, POU2AF1, SLC45A3, SLC6A1"
Pulmonary venous endothelial cells,"PKHD1L1, VWF, SLCO2A1, LHX6, CALCRL, ANO2, NTF3, HDAC9, CYP8B1, LINC01513"
Systemic venous endothelial cells,"DIPK2B, POSTN, OLFM4, CD79B, AL589787.1, SNAP91, ADGRL4, IQCJ-SCHIP1, CALB2, NXN"
Transitioning MDM,"COX4I2, NEAT1, MSMB, DSEL, TMEM190, NRXN1, SPINK5, HOXD3, ELFN1, ZFPM2-AS1"
